Type,Index,MouthHor,Cheeks,MouthVert,LeftEyeCheek,RightEyeCheek,LeftOpen,RightOpen,Smile
good,41,0.781241739,1.10548789,0.520784732,0.432338412,0.474738261,0.78536916,0.9893278,0.75194424
good,42,0.959043496,1.213916901,0.56239256,0.48387488,0.471822682,0.987694,0.98959786,0.9959535
good,44,0.921352251,1.207612905,0.558740019,0.488652052,0.435740997,0.7023054,0.8358434,0.97170806
good,46,0.707184195,1.102553349,0.591940817,0.538342074,0.52654799,0.7461004,0.9876232,0.065027475
good,47,0.953160686,1.094786879,0.653852856,0.471453693,0.540528922,0.9881416,0.99227536,0.4360648
good,48,0.853941205,1.127315245,0.63016811,0.503018469,0.492232248,0.9940483,0.9917755,0.005025615
good,49,NA,NA,NA,NA,NA,0.98857105,-1,0.9694422
good,50,0.803126851,1.100310934,0.55968044,0.498875372,0.437552455,0.9748586,0.98742723,0.2925065
good,54,0.771362671,1.126833004,0.618439823,0.541895226,0.527873876,0.7195308,0.6661993,0.019627495
good,56,0.942311326,0,0.435994484,0,0.550194415,0.5714599,0.2579029,0.2574544
good,57,0.952426864,1.159380279,0.599562516,0.499836773,0.396918938,0.9877982,0.5229441,0.49844682
good,59,0.96871011,1.192394147,0.459346931,0.417601313,0.402417379,0.99144566,0.9883012,0.9720098
good,60,0.935485475,1.199036248,0.588445747,0.519744112,0.514771428,0.9298057,0.9864869,0.2574171
good,60,0.779107126,1.08614327,0.50983153,0.478607142,0.523613949,0.7238726,0.7687319,0.3098974
good,61,0.832398194,1.14973071,0.569716454,0.495270946,0.464671535,0.78774536,0.69864774,0.9665293
good,62,NA,NA,NA,NA,NA,0.763398,-1,0.27893424
good,63,0.794617998,1.138428213,0.543671037,0.548416764,0.572653687,0.7423756,0.98632365,0.66567314
good,64,1.013322865,1.234949791,0.612142857,0.491287001,0.498153376,0.5669415,0.75527364,0.9915407
good,65,0.993377431,1.210561863,0.571651929,0.454775524,0.436099028,0.4878252,0.9883955,0.9962102
good,66,0,1.181515664,0.376977737,0.475253804,0.43993919,0.3667277,0.64179564,-1
good,66,NA,NA,NA,NA,NA,-1,-1,-1
good,67,0.989073575,1.232735253,0.532069084,0.465930478,0.423929136,0.9943434,0.9860248,0.99241686
good,68,0.851811223,1.208422397,0.56531536,0.552552267,0.504863785,0.9888618,0.98981375,0.9525635
good,69,0.80638907,1.137975159,0.486125199,0.461450786,0.408977736,0.99280715,0.9881596,0.21131419
good,71,0.865948498,1.181110589,0.50526591,0.521312869,0.48833207,0.66645867,0.8147112,0.32546133
good,72,0.760506987,1.070544689,0.526254656,0.407093195,0.543181523,0.98943925,0.94792324,0.03580075
good,73,0,1.303678858,0.704358786,0.593156387,0.574630027,0.9913554,0.8160123,-1
good,74,0.815566029,1.113265237,0.551804511,0.480000941,0.475182345,0.9916467,0.98859185,0.96719486
good,75,0.902913364,1.154362879,0.558407304,0.432486431,0.475435767,0.7772827,0.9886364,0.9770782
good,76,0.934455191,1.159044393,0.594404377,0.456231081,0.511343378,0.73965186,0.95947516,0.9938222
good,78,1.00871402,1.224146047,0.532030883,0.47587175,0.43506189,0.9951189,0.5881506,0.97643036
good,79,0.98533272,1.146338167,0.692278988,0.486108164,0.446515351,0.8027854,0.98731315,0.9555562
good,80,0.809694412,1.138025025,0.46101257,0.467033879,0.455662213,0.9925838,0.99185276,0.06666348
good,81,0.844267758,1.158353116,0.552025237,0.517876171,0.392785413,0.26963922,0.5731434,0.043953013
good,82,0.877232177,1.142747578,0.557665681,0.444660659,0.441236409,0.025844349,0.058595464,0.95647866
good,83,0.703933778,1.067624757,0.488783376,0.503869673,0.493890216,0.7756823,0.78348154,0.39434534
good,85,0.907174128,1.163174258,0.526615831,0.428594349,0.427559557,0.92435414,0.99427116,0.98113394
good,86,0,0,0,0.451940542,0,0.7246155,0.6248798,-1
good,87,0.829423544,1.173089039,0.539618457,0.477686707,0.441830247,0.9112632,0.8142968,0.95003885
good,88,0.862016556,1.163031178,0.546449267,0.630140461,0.556548888,0.8120874,0.6604078,0.7452257
good,90,0.867073619,1.18011529,0.561691562,0.529943163,0.457122556,0.99381834,0.9891127,0.07205845
good,90,0.87540311,1.181661607,0.593414061,0.511220119,0.515724146,0.9924386,0.9875187,0.005970642
bad,7,0.766020925,1.073283032,0.695795957,0.510081511,0.492434438,0.71305144,0.691116,0.13890779
bad,8,0.933242044,1.20188711,0.737267078,0.55006483,0.481933,0.99644166,0.8719548,0.0958125
bad,8,0.921337142,1.161212931,0.556769634,0.549676157,0.355265015,0.9452095,0.99433386,0.005486445
bad,10,0.947521606,1.174723312,0.68957275,0.57921533,0.549020159,0.9922964,0.9903397,0.006335561
bad,12,0.805919166,1.110939159,0.559347632,0.529362033,0.477743368,0.9936454,0.98738915,0.17202717
bad,13,0.915123964,1.189380479,0.501725456,0.558219811,0.494847335,0.91453516,0.9940293,0.053050943
bad,15,1.031469195,1.175123156,0.612143523,0.552512219,0.533635706,0.9961634,0.99147844,0.19294438
bad,17,0.870245325,1.125117756,0.58375002,0.490228743,0.509070284,0.96670055,0.99474734,0.08094406
bad,18,0.882720963,1.139199863,0.714123632,0.567314413,0.500193862,0.99080634,0.98749465,0.29125866
bad,21,0.620729876,1.01464297,0.631870814,0.551525086,0.553939666,0.991383,0.9885456,0.006240893
bad,24,0.789253689,1.132350125,0.568985624,0.500034468,0.535074621,0.9365226,0.9875934,0.096013434
bad,25,1.056904082,1.059095853,0.586988432,0.447143059,0.467736487,0.6051879,0.55780244,0.29006216
bad,27,0.707357781,0.967422889,0.480107304,0.380330565,0.452320922,0.66559494,0.5391282,0.006003053
bad,29,0.901749929,1.157971682,0.627381287,0.528733247,0.542659916,0.99598104,0.99646425,0.13449734
bad,31,0.8929241,1.163276682,0.464526297,0.452768777,0.48046158,0.883171,0.9574691,0.15589863
bad,32,0.778288046,1.088313329,0.541849828,0.440338218,0.489006094,0.98952055,0.92514277,0.05324939
bad,35,0.749352503,1.118501761,0.593172448,0.431169251,0.528440892,0.83431715,0.9879247,0.13387576
bad,36,0.800927001,1.156205418,0.582005792,0.521918216,0.372871166,0.7296639,0.8264067,0.13853212
bad,38,0.873116309,1.16675675,0.809814525,0.408624513,0.567809174,0.56979966,0.9861244,0.005755725
bad,39,0.881982411,1.163681111,0.583914288,0.595847796,0.452438071,0.9879302,0.56309485,0.30186224
bad,40,0,0,0.735267838,0.548216713,0,0.67214495,0.7698895,-1
bad,42,0.845735893,1.102789,0.612306757,0.432597799,0.439933846,0.98289955,0.83022213,0.35442063
bad,43,1.097109112,1.345752983,0.72107983,0.545946516,0.638306161,0.99250245,0.9888109,0.16225016
bad,44,0.853448118,1.211992493,0.664930752,0.579205959,0.487268874,0.99451756,0.9860747,0.1591812
bad,44,NA,NA,NA,NA,NA,0.8290058,-1,-1
bad,45,0,0,0,0.414936506,0,0.7243834,0.6949587,-1
bad,47,0.667419209,0.986767672,0.749907673,0.406256463,0.490166142,0.99085075,0.98599124,0.27185047
bad,47,0.721094942,1.051798456,0.800942803,0.570218893,0.533514633,0.9117558,0.9860675,0.1490333
bad,48,1.028115443,1.174213867,0.590020695,0.567692669,0.405183053,0.9873073,0.9947193,0.006160608
bad,50,NA,NA,NA,NA,NA,0.99291676,-1,0.00701042
bad,51,0.891692351,1.181109419,0.640843292,0.551730323,0.500559932,0.9921387,0.99002445,0.18158226
bad,52,0.847790517,1.134957641,0.487331295,0.443078291,0.46515617,0.9924947,0.99263895,0.73078537
bad,54,0.791530046,1.187946077,0.665845716,0.607209726,0.564240724,0.9930177,0.98863745,0.004365476
bad,55,0.88808438,1.195070819,0.615617968,0.552127779,0.489213201,0.24019025,0.57623273,0.5207745
bad,56,0.773114828,1.121517652,0.593570062,0.56491394,0.516346938,0.96427375,0.8136767,0.2234976
bad,58,0.939675236,1.199336765,0.746296541,0.541666164,0.553800638,0.24528538,0.29768753,0.017575542
bad,59,0.791991991,1.029772095,0,0.447949673,0.438519828,0.59011465,0.65831476,-1
bad,60,0,1.203098933,0,0.663159298,0.756531179,0.7275743,0.41528952,-1
bad,61,NA,NA,NA,NA,NA,0.41891757,-1,0.24875227
bad,62,0.760828951,1.075891621,0.445077241,0.459793875,0.453820559,0.9930412,0.99413085,0.7290646
bad,63,0.922112834,1.151062943,0.595313417,0.478193178,0.493339958,0.83490276,0.8085147,0.017028883
bad,66,NA,NA,NA,NA,NA,0.98971534,-1,-1
bad,67,0.873979225,1.097918431,0.557522619,0.42680204,0.471807949,0.9424483,0.6118084,0.005925664
bad,69,0.760527499,1.116169688,0.547573935,0.508756771,0.498400475,0.9972302,0.9949068,0.006424965
bad,70,1.021433112,1.194653618,0.612245851,0.47783256,0.485936369,0.68135047,0.7159449,0.9667493
bad,71,0.884378106,1.123787963,0.542949132,0.475713114,0.394273754,0.89554906,0.98838806,0.005446031
bad,72,0.935846095,1.200909001,0.585388657,0.467036813,0.460483019,0.9899513,0.98852247,0.97986597
bad,73,1.015418466,1.197594844,0.604654156,0.42137079,0.49192922,0.988509,0.9930468,0.21892175
bad,74,0.867044125,1.109227551,0.477884351,0.443527996,0.460458937,0.72772163,0.72296923,0.7873648
bad,75,0.941105688,1.14813909,0.495434932,0.507890262,0.441398679,0.7411679,0.81930864,0.005663252
bad,78,NA,NA,NA,NA,NA,0.46780849,-1,-1
bad,81,0.8746845,1.18252042,0.521965765,0.521173232,0.499991696,0.98870444,0.9873382,0.3312321
bad,82,0.751004145,1.088130177,0.554894092,0.486637451,0.512569275,0.9946785,0.9914084,0.003284915
bad,83,0.816230814,1.163228656,0.698431104,0.5673083,0.607745188,0.99194837,0.99149877,0.18307517
bad,84,0.938876964,1.171780837,0.600715865,0.467979795,0.520891339,0.8210125,0.58082736,0.8667579
bad,86,0,1.199544581,0.441599737,0.496399567,0.414493331,0.9924116,0.9865437,-1
bad,87,0.929172822,1.186595336,0.65628497,0.507043507,0.53716827,0.5052968,0.36451828,0.5235958
bad,88,0.731142386,1.117371648,0.572005605,0.513799361,0.505137089,0.6829814,0.5951323,0.39454567
